Rank,Company,Country,Sales,Profits,Assets,Market Value,ISO-ALPHA-3,ISO-ALPHA-2,IOC,FIFA,Latitude,Longitude,ISO-Name,Historical,WikiData_ID,WikiData_Latitude,WikiData_Longitude,WikiData_Label,WikiData_Description
1,JPMorgan Chase,United States,179.93,41.8,3744.3,399.59,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
2,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,589.47,156.36,660.99,2055.22,SAU,SA,KSA,KSA,23.885942,45.079162,1,0,Q851,23.72,44.12,Saudi Arabia,sovereign state in western Asia
3,ICBC,China,216.77,52.47,6116.82,203.01,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
4,China Construction Bank,China,203.08,48.25,4977.48,172.99,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
5,Agricultural Bank of China,China,186.14,37.92,5356.86,141.82,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
6,Bank of America,United States,133.84,28.62,3194.66,220.82,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
7,Alphabet,United States,282.85,58.59,369.49,1340.53,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
8,ExxonMobil,United States,393.16,61.69,369.37,439.39,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
9,Microsoft,United States,207.59,69.02,380.09,2309.84,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
10,Apple,United States,385.1,94.32,332.16,2746.21,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
11,Shell,United Kingdom,365.89,43.51,429.15,205.45,GBR,GB,GBR,,55.378051,-3.435973,0,0,Q145,54.6,-2.0,United Kingdom,country in Western Europe
12,Bank of China,China,158.23,33.23,4421.76,122.67,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
13,Toyota Motor,Japan,270.49,18.5,542.5,188.2,JPN,JP,JPN,JPN,36.204824,138.252924,1,0,Q17,35.0,136.0,Japan,sovereign state in East Asia
14,Samsung Electronics,South Korea,220.07,34.49,348.81,334.31,KOR,KR,KOR,KOR,35.907757,127.766922,0,0,Q884,36.0,128.0,South Korea,sovereign state in East Asia
15,UnitedHealth Group,United States,335.94,20.7,283.68,460.19,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
16,Ping An Insurance Group,China,166.37,12.64,1598.49,138.56,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
17,Wells Fargo,United States,108.93,14.5,1886.4,142.36,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
18,Chevron,United States,232.12,35.78,255.89,303.54,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
18,PetroChina,China,457.4,22.18,384.58,122.91,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
20,HSBC Holdings,United Kingdom,73.98,22.19,2989.7,151.19,GBR,GB,GBR,,55.378051,-3.435973,0,0,Q145,54.6,-2.0,United Kingdom,country in Western Europe
21,TotalEnergies,France,257.59,21.12,293.03,151.64,FRA,FR,FRA,FRA,46.227638,2.213749,1,0,Q142,47.0,2.0,France,country in Western Europe
21,Verizon Communications,United States,136.19,21.59,377.72,159.04,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
23,Walmart,United States,611.29,11.68,243.2,409.12,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
24,Citigroup,United States,120.42,15.02,2455.11,90.03,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
25,China Mobile,Hong Kong,140.53,18.76,290.0,186.41,HKG,HK,HKG,HKG,22.396428,114.109497,1,0,Q8646,22.28,114.16,Hong Kong,special administrative region of China
26,China Merchants Bank,China,72.44,20.56,1458.48,129.84,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
27,Postal Savings Bank Of China (PSBC),China,82.51,12.78,2023.57,110.18,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
28,BP,United Kingdom,248.11,25.89,278.66,108.3,GBR,GB,GBR,,55.378051,-3.435973,0,0,Q145,54.6,-2.0,United Kingdom,country in Western Europe
29,Volkswagen Group,Germany,293.47,15.63,633.78,70.16,DEU,DE,GER,GER,51.165691,10.451526,1,0,Q183,51.0,10.0,Germany,country in Central Europe
30,Morgan Stanley,United States,74.16,10.34,1199.9,141.76,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
31,Meta Platforms,United States,117.35,21.44,184.49,599.82,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
32,Sinopec,China,453.56,9.85,283.3,114.32,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
33,BNP Paribas,France,99.47,10.11,2845.69,78.59,FRA,FR,FRA,FRA,46.227638,2.213749,1,0,Q142,47.0,2.0,France,country in Western Europe
33,Goldman Sachs Group,United States,79.45,10.56,1538.35,108.72,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
35,Tencent Holdings,China,82.41,27.26,227.01,415.36,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
36,Amazon,United States,524.9,4.29,464.38,1084.06,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
37,Allianz,Germany,134.26,7.08,1139.49,95.45,DEU,DE,GER,GER,51.165691,10.451526,1,0,Q183,51.0,10.0,Germany,country in Central Europe
38,RBC,Canada,60.22,11.4,1448.66,135.15,CAN,CA,CAN,CAN,56.130366,-106.346771,1,0,Q16,56.0,-109.0,Canada,sovereign state in North America
39,Pfizer,United States,92.95,29.04,197.21,216.28,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
40,Johnson & Johnson,United States,96.31,12.72,195.97,422.76,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
41,Deutsche Telekom,Germany,120.72,8.41,342.62,117.18,DEU,DE,GER,GER,51.165691,10.451526,1,0,Q183,51.0,10.0,Germany,country in Central Europe
42,Mercedes-Benz Group,Germany,158.78,15.55,286.0,78.49,DEU,DE,GER,GER,51.165691,10.451526,1,0,Q183,51.0,10.0,Germany,country in Central Europe
43,TD Bank Group,Canada,56.72,11.68,1445.11,112.92,CAN,CA,CAN,CAN,56.130366,-106.346771,1,0,Q16,56.0,-109.0,Canada,sovereign state in North America
